Nombre del producto,Descripcion,Categoria,Precio de lista,Precio con descuento,Link del producto,Stock,Sku (codigo de referencia)
ROLLOS DE COCINA SUSSEX CLASICO 3 X 50 PAÑOS,ROLLOS DE COCINA SUSSEX CLASICO 3 X 50 PAÑOS,/Limpieza/Papeles/Rollos de Cocina/,302.99,163.99,https://www.hiperlibertad.com.ar/rollos-de-cocina-sussex-clasico-3-x-50-pa-os/p,5849,485910
GALLETAS OREO ORIGINAL VEGGIE X 118 Gr,GALLETAS OREO ORIGINAL VEGGIE X 118 Gr,/Almacén/Desayuno y Merienda/Galletitas dulces/,196.99,196.99,https://www.hiperlibertad.com.ar/galletas-oreo-original-veggie-x-118-gr/p,2828,486776
PAPEL HIGIENICO HIGIENOL MAX HOJA SIMPLE TECNOLOGIA PANAL 100 Mts x 4 U,PAPEL HIGIENICO HIGIENOL MAX HOJA SIMPLE TECNOLOGIA PANAL 100 Mts x 4 U,/Limpieza/Papeles/Papel Higiénico/,753.99,410.99,https://www.hiperlibertad.com.ar/papel-higienico-higienol-max-hoja-simple-tecnologia-panal-100-mts-x-4-u/p,581,485870
COSTELETA DE CERDO X 500 G,COSTELETA DE CERDO x 500 g,/CARNES/Carne de cerdo/,399.0,399.0,https://www.hiperlibertad.com.ar/costeleta-de-cerdo-x-500-g/p,243,471788
SUPREMA DE POLLO FRESCA X 1 KG,SUPREMA DE POLLO FRESCA X 1 KG,/CARNES/Carne de Pollo/,899.0,899.0,https://www.hiperlibertad.com.ar/suprema-de-pollo-fresca-x-1-kg/p,1591,471730
Leche Entera UAT MANFREY Larga Vida 1 L,Leche Entera UAT MANFREY Larga Vida 1 L,/Lácteos/Leches/Larga Vida/,145.99,145.99,https://www.hiperlibertad.com.ar/leche-entera-uat-manfrey-larga-vida-1-l/p,20641,423284
Azucar Azucel 1 Kilo,Azucar Azucel 1 Kilo,/Almacén/Desayuno y Merienda/Azucar y Edulcorantes/,224.0,224.0,https://www.hiperlibertad.com.ar/azucar-azucel-1-kilo/p,7264,366159
Rollo de Cocina Campanita Minimega 2unid. x 100mts.,Rollo de Cocina Campanita Minimega 2unid. x 100mts.,/Limpieza/Papeles/Rollos de Cocina/,191.99,191.99,https://www.hiperlibertad.com.ar/rollo-de-cocina-campanita-minimega-2unid-x-100mts/p,3131,356188
Arroz parboil Gallo Oro 500 Gr ARROZ GALLO PARBOIL X500GR,Arroz parboil Gallo Oro 500 Gr,/Almacén/Arroz y Legumbres/Arroz/,106.99,89.99,https://www.hiperlibertad.com.ar/arroz-parboil-gallo-oro-500-gr/p,2127,345318
Pure De Tomate Marolio 520 Gr PURE TOM MAROLIO X520G,Pure De Tomate Marolio 520 Gr,/Almacén/Conservas/Conservas de tomate/,113.49,72.99,https://www.hiperlibertad.com.ar/pure-de-tomate-marolio-520-gr/p,2376,330611
Leche Descremada C/Calcio LA LACTEO Larga Vida 1 L LECHE LV LACTEO DE C/CX1LT,Leche Descremada C/Calcio LA LACTEO Larga Vida 1 L,/Lácteos/Leches/Larga Vida/,179.99,179.99,https://www.hiperlibertad.com.ar/leche-descremada-c-calcio-la-lacteo-larga-vida-1-l/p,353,294231
Leche Entera C/Calcio LA LACTEO Larga Vida 1 L LECHE LV LACTEO EN C/CX1LT,Leche Entera C/Calcio LA LACTEO Larga Vida 1 L,/Lácteos/Leches/Larga Vida/,179.99,179.99,https://www.hiperlibertad.com.ar/leche-entera-c-calcio-la-lacteo-larga-vida-1-l/p,4878,294226
Galletitas crackers Traviata sandwich 5 x 101 Gr GALL.BAGLEY TRAVIATA  X506GR,Galletitas crackers Traviata sandwich 5 x 101 Gr,/Almacén/Desayuno y Merienda/Galletitas saladas/,417.99,228.6,https://www.hiperlibertad.com.ar/galletitas-crackers-traviata-sandwich-5-x-101-gr/p,4518,153555
Pan Lactal Familiar Veneziana Blanco 600 Gr,Pan Lactal Familiar Veneziana Blanco 600 Gr,/Almacén/Panificados/Pan Lactal/,263.49,263.49,https://www.hiperlibertad.com.ar/pan-lactal-familiar-veneziana-blanco-600-gr/p,38,89078
"ACEITE DE GIRASOL LEGITIMO X 1,5 Lts","ACEITE DE GIRASOL LEGITIMO X 1,5 Lts",/Almacén/Aceites y Vinagres/Aceites de Girasol/,303.96,303.96,https://www.hiperlibertad.com.ar/aceite-de-girasol-legitimo-x-1-5-lts/p,922,491218
GALLETAS PEPITOS REGULAR X 119 Gr GALL PEPITOS REGULAR 119G,GALLETAS PEPITOS REGULAR X 119 Gr,/Almacén/Desayuno y Merienda/Galletitas dulces/,183.99,174.49,https://www.hiperlibertad.com.ar/galletas-pepitos-regular-x-119-gr/p,2470,486805
GALLETAS OREO ORIGINAL VEGGIE TRIPACK X 354 Gr,GALLETAS OREO ORIGINAL VEGGIE TRIPACK X 354 Gr,/Almacén/Desayuno y Merienda/Galletitas dulces/,516.49,489.49,https://www.hiperlibertad.com.ar/galletas-oreo-original-veggie-tripack-x-354-gr/p,2266,486777
GALLETAS PEPITOS ORIGINAL TRIPACK X 357 Gr,GALLETAS PEPITOS ORIGINAL TRIPACK X 357 Gr,/Almacén/Desayuno y Merienda/Galletitas dulces/,491.49,491.49,https://www.hiperlibertad.com.ar/galletas-pepitos-original-tripack-x-357-gr/p,1396,486775
JABON LIQUIDO ALA ECOLAVADO PARA DILUIR X 500 Ml,JABON LIQUIDO ALA ECOLAVADO PARA DILUIR X 500 Ml,/Limpieza/Cuidado de la Ropa/Jabón Líquido/,937.99,937.99,https://www.hiperlibertad.com.ar/jabon-liquido-ala-ecolavado-para-diluir-x-500-ml/p,944,486270
PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U,PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U,/Limpieza/Papeles/Papel Higiénico/,288.99,288.99,https://www.hiperlibertad.com.ar/papel-higienico-higienol-export-hoja-simple-30-mts-x-4-u/p,3596,485854
Limpiador  CIF  Bioactive Antigrasa 450 ml Doypack,Limpiador  CIF  Bioactive Antigrasa 450 ml Doypack,/Limpieza/Limpieza de Cocina/Limpiadores/,137.99,91.99,https://www.hiperlibertad.com.ar/limpiador-cif-bioactive-antigrasa-450-ml-doypack/p,123,485807
MAYONESA HELLMANNS CLASICA X 475 Gr,MAYONESA HELLMANNS CLASICA X 475 Gr,/Almacén/Aderezos/Mayonesas/,209.49,209.49,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-clasica-x-475-gr/p,2637,485425
ARROZ MARÍA LARGO FINO X 1KG,ARROZ MARÍA LARGO FINO X 1KG,/Almacén/Arroz y Legumbres/Arroz/,153.49,153.49,https://www.hiperlibertad.com.ar/arroz-mar-a-largo-fino-x-1kg/p,7733,482363
CAFE NESCAFE DOLCA SUAVE MAS AROMA X 170 Gr,CAFE NESCAFE DOLCA SUAVE MAS AROMA X 170 Gr,/Almacén/Desayuno y Merienda/Cafés/,952.49,557.1,https://www.hiperlibertad.com.ar/cafe-nescafe-dolca-suave-aroma-x-170-gr-2/p,929,481064
MOSTAZA SAVORA DP X250G MOSTAZA SAVORA DOY PACK X 250G,MOSTAZA SAVORA DP X250G,/Almacén/Aderezos/Mostazas/,149.99,149.99,https://www.hiperlibertad.com.ar/mostaza-savora-dp-x250g/p,744,480270
QUESO DAMBO TREGARX250GR QUESO DAMBO TREGAR X 250 Gr,QUESO DAMBO TREGARX250GR,/QUESOS Y FIAMBRES/Quesos/Quesos semiduros/,287.49,287.49,https://www.hiperlibertad.com.ar/queso-dambo-tregarx250gr/p,21,479316
BIZ  9 DE ORO AGRIDULCE 215 G BIZCOCHOS 9 DE ORO AGRIDULCE 215 G,BIZ  9 DE ORO AGRIDULCE 215 G,/Almacén/Desayuno y Merienda/Galletitas dulces/,172.99,100.79,https://www.hiperlibertad.com.ar/biz-9-de-oro-agridulce-215-g/p,5640,478942
BIZ 9 DE ORO CLASICOS 215G BIZCOCHOS 9 DE ORO CLASICOS 215G,BIZ 9 DE ORO CLASICOS 215G,/Almacén/Desayuno y Merienda/Galletitas saladas/,172.99,100.79,https://www.hiperlibertad.com.ar/biz-9-de-oro-clasicos-215g/p,3900,478941
